ID,year,region,npg,birth_rate,death_rate,gdw,urbanization
1,1990,Republic of Adygea,1.9,14.2,12.3,84.66,52.42
2,1990,Altai Krai,1.8,12.9,11.1,80.24,58.07
3,1990,Amur Oblast,7.6,16.2,8.6,69.55,68.37
4,1990,Arkhangelsk Oblast,3.7,13.5,9.8,73.26,73.63
5,1990,Astrakhan Oblast,4.7,15.1,10.4,77.05,68.01
6,1990,Republic of Bashkortostan,6.5,16.2,9.7,80.53,64.22
7,1990,Belgorod Oblast,0.0,12.9,12.9,84.17,63.26
8,1990,Bryansk Oblast,0.1,13.0,12.9,86.48,67.49
9,1990,Republic of Buryatia,9.2,18.3,9.1,79.47,62.16
10,1990,Vladimir Oblast,-0.4,12.1,12.5,77.78,79.31
11,1990,Volgograd Oblast,1.3,13.0,11.7,77.3,75.76
12,1990,Vologda Oblast,1.4,13.4,12.0,82.16,65.48
13,1990,Voronezh Oblast,-2.4,11.5,13.9,83.78,60.94
14,1990,Republic of Dagestan,19.9,26.1,6.2,94.26,43.49
15,1990,Jewish Autonomous Oblast,8.2,17.8,9.6,76.11,65.01
16,1990,Zabaykalsky Krai,8.4,17.6,9.2,77.95,63.86
17,1990,Ivanovo Oblast,-2.4,11.6,14.0,81.82,82.3
18,1990,Republic of Ingushetia,,,,94.31,24.84
19,1990,Irkutsk Oblast,6.2,16.2,10.0,72.48,80.36
20,1990,Kabardino-Balkar Republic,11.5,20.0,8.5,80.03,60.86
21,1990,Kaliningrad Oblast,2.8,12.6,9.8,67.8,78.97
22,1990,Republic of Kalmykia,12.7,20.9,8.2,77.44,45.81
23,1990,Kaluga Oblast,-0.5,12.0,12.5,77.4,69.77
24,1990,Kamchatka Krai,6.2,12.4,6.2,49.96,81.5
25,1990,Karachay-Cherkess Republic,8.8,17.1,8.3,82.62,48.99
26,1990,Republic of Karelia,3.1,13.3,10.2,72.44,81.55
27,1990,Kemerovo Oblast,1.6,12.9,11.3,76.39,87.12
28,1990,Kirov Oblast,0.9,13.0,12.1,82.66,69.35
29,1990,Kostroma Oblast,-0.8,12.7,13.5,84.21,68.85
30,1990,Krasnodar Krai,-0.1,13.2,13.3,82.86,54.25
31,1990,Krasnoyarsk Krai,4.5,13.8,9.3,69.33,73.94
32,1990,Republic of Crimea,,,,,
33,1990,Kurgan Oblast,3.1,14.5,11.4,81.6,54.77
34,1990,Kursk Oblast,-2.0,11.9,13.9,85.04,58.4
